GENESIS-Tabelle: 12211-1003
Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen,;;;;;;;;
Nichterwerbspersonen aus Hauptwohnsitzhaush.: Bundesländer,;;;;;;;;
Jahre, Geschlecht, Größenkl. persönl. monatl. Nettoeinkommen;;;;;;;;
Mikrozensus;;;;;;;;
;;;;Bevölkerung in Hauptwohnsitzhaushalten;Erwerbstätige aus Hauptwohnsitzhaushalten;Erwerbslose aus Hauptwohnsitzhaushalten;Erwerbspersonen aus Hauptwohnsitzhaushalten;Nichterwerbspersonen aus Hauptwohnsitzhaushalten
2022;Niedersachsen;Insgesamt;3000 bis unter 3500 EUR;341;276;/;276;65
2022;Niedersachsen;Insgesamt;3500 EUR und mehr;567;486;/;488;79
2022;Niedersachsen;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Niedersachsen;Insgesamt;Insgesamt;8010;4107;119;4226;3784
2022;Nordrhein-Westfalen;männlich;Kein Einkommen;1253;16;21;37;1216
2022;Nordrhein-Westfalen;männlich;unter 500 EUR;875;164;44;208;667
2022;Nordrhein-Westfalen;männlich;500 bis unter 1000 EUR;780;347;59;406;374
2022;Nordrhein-Westfalen;männlich;1000 bis unter 1250 EUR;434;196;18;214;220
2022;Nordrhein-Westfalen;männlich;1250 bis unter 1500 EUR;484;246;12;258;226
2022;Nordrhein-Westfalen;männlich;1500 bis unter 1750 EUR;565;321;8;329;237
2022;Nordrhein-Westfalen;männlich;1750 bis unter 2000 EUR;654;437;8;445;209
2022;Nordrhein-Westfalen;männlich;2000 bis unter 2500 EUR;1348;1032;11;1044;304
2022;Nordrhein-Westfalen;männlich;2500 bis unter 3000 EUR;781;626;/;631;150
2022;Nordrhein-Westfalen;männlich;3000 bis unter 3500 EUR;533;429;/;430;103
2022;Nordrhein-Westfalen;männlich;3500 EUR und mehr;1064;921;/;925;139
2022;Nordrhein-Westfalen;männlich;Ohne Angabe;/;/;/;/;/
2022;Nordrhein-Westfalen;männlich;Insgesamt;8770;4736;189;4925;3845
2022;Nordrhein-Westfalen;weiblich;Kein Einkommen;1519;27;22;49;1470
2022;Nordrhein-Westfalen;weiblich;unter 500 EUR;1495;424;34;458;1038
2022;Nordrhein-Westfalen;weiblich;500 bis unter 1000 EUR;1478;635;38;673;805
2022;Nordrhein-Westfalen;weiblich;1000 bis unter 1250 EUR;852;442;12;454;398
2022;Nordrhein-Westfalen;weiblich;1250 bis unter 1500 EUR;699;406;7;413;286
2022;Nordrhein-Westfalen;weiblich;1500 bis unter 1750 EUR;619;387;/;392;227
2022;Nordrhein-Westfalen;weiblich;1750 bis unter 2000 EUR;555;380;/;383;172
2022;Nordrhein-Westfalen;weiblich;2000 bis unter 2500 EUR;882;669;/;675;207
2022;Nordrhein-Westfalen;weiblich;2500 bis unter 3000 EUR;426;326;/;327;99
2022;Nordrhein-Westfalen;weiblich;3000 bis unter 3500 EUR;247;194;/;195;52
2022;Nordrhein-Westfalen;weiblich;3500 EUR und mehr;321;258;/;259;62
2022;Nordrhein-Westfalen;weiblich;Ohne Angabe;/;/;/;/;/
2022;Nordrhein-Westfalen;weiblich;Insgesamt;9094;4149;130;4279;4815
2022;Nordrhein-Westfalen;Insgesamt;Kein Einkommen;2772;43;43;86;2686
2022;Nordrhein-Westfalen;Insgesamt;unter 500 EUR;2370;587;78;665;1705
2022;Nordrhein-Westfalen;Insgesamt;500 bis unter 1000 EUR;2257;982;97;1079;1178
2022;Nordrhein-Westfalen;Insgesamt;1000 bis unter 1250 EUR;1286;639;30;668;618
2022;Nordrhein-Westfalen;Insgesamt;1250 bis unter 1500 EUR;1183;652;19;671;512
2022;Nordrhein-Westfalen;Insgesamt;1500 bis unter 1750 EUR;1185;708;13;721;464
2022;Nordrhein-Westfalen;Insgesamt;1750 bis unter 2000 EUR;1209;818;11;829;380
2022;Nordrhein-Westfalen;Insgesamt;2000 bis unter 2500 EUR;2230;1702;17;1719;511
2022;Nordrhein-Westfalen;Insgesamt;2500 bis unter 3000 EUR;1208;952;7;958;249
2022;Nordrhein-Westfalen;Insgesamt;3000 bis unter 3500 EUR;780;623;/;625;155
2022;Nordrhein-Westfalen;Insgesamt;3500 EUR und mehr;1385;1179;/;1184;201
2022;Nordrhein-Westfalen;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Nordrhein-Westfalen;Insgesamt;Insgesamt;17864;8885;320;9205;8660
2022;Rheinland-Pfalz;männlich;Kein Einkommen;290;/;/;10;280
2022;Rheinland-Pfalz;männlich;unter 500 EUR;182;41;9;50;132
2022;Rheinland-Pfalz;männlich;500 bis unter 1000 EUR;157;70;10;79;77
2022;Rheinland-Pfalz;männlich;1000 bis unter 1250 EUR;100;39;/;41;59
2022;Rheinland-Pfalz;männlich;1250 bis unter 1500 EUR;115;54;/;56;59
2022;Rheinland-Pfalz;männlich;1500 bis unter 1750 EUR;127;77;/;78;49
2022;Rheinland-Pfalz;männlich;1750 bis unter 2000 EUR;168;117;/;119;49
2022;Rheinland-Pfalz;männlich;2000 bis unter 2500 EUR;327;259;/;261;66
2022;Rheinland-Pfalz;männlich;2500 bis unter 3000 EUR;189;154;/;155;34
2022;Rheinland-Pfalz;männlich;3000 bis unter 3500 EUR;128;104;/;105;23
2022;Rheinland-Pfalz;männlich;3500 EUR und mehr;244;209;/;210;34
2022;Rheinland-Pfalz;männlich;Ohne Angabe;/;/;/;/;/
2022;Rheinland-Pfalz;männlich;Insgesamt;2028;1127;38;1165;863
2022;Rheinland-Pfalz;weiblich;Kein Einkommen;362;/;/;11;350
2022;Rheinland-Pfalz;weiblich;unter 500 EUR;332;103;8;111;220
2022;Rheinland-Pfalz;weiblich;500 bis unter 1000 EUR;333;154;/;159;174
2022;Rheinland-Pfalz;weiblich;1000 bis unter 1250 EUR;197;111;/;113;83
2022;Rheinland-Pfalz;weiblich;1250 bis unter 1500 EUR;166;101;/;103;63
2022;Rheinland-Pfalz;weiblich;1500 bis unter 1750 EUR;134;89;/;90;45
2022;Rheinland-Pfalz;weiblich;1750 bis unter 2000 EUR;126;93;/;94;32
2022;Rheinland-Pfalz;weiblich;2000 bis unter 2500 EUR;196;152;/;154;43
2022;Rheinland-Pfalz;weiblich;2500 bis unter 3000 EUR;86;67;/;68;18
2022;Rheinland-Pfalz;weiblich;3000 bis unter 3500 EUR;52;41;/;41;11
2022;Rheinland-Pfalz;weiblich;3500 EUR und mehr;69;58;/;58;11
2022;Rheinland-Pfalz;weiblich;Ohne Angabe;/;/;/;/;/
2022;Rheinland-Pfalz;weiblich;Insgesamt;2052;973;28;1001;1051
2022;Rheinland-Pfalz;Insgesamt;Kein Einkommen;652;8;13;21;630
2022;Rheinland-Pfalz;Insgesamt;unter 500 EUR;514;144;17;162;352
2022;Rheinland-Pfalz;Insgesamt;500 bis unter 1000 EUR;490;224;15;238;252
2022;Rheinland-Pfalz;Insgesamt;1000 bis unter 1250 EUR;297;150;/;155;142
2022;Rheinland-Pfalz;Insgesamt;1250 bis unter 1500 EUR;281;154;/;159;122
2022;Rheinland-Pfalz;Insgesamt;1500 bis unter 1750 EUR;262;165;/;168;94
2022;Rheinland-Pfalz;Insgesamt;1750 bis unter 2000 EUR;294;210;/;212;82
2022;Rheinland-Pfalz;Insgesamt;2000 bis unter 2500 EUR;523;411;/;415;108
2022;Rheinland-Pfalz;Insgesamt;2500 bis unter 3000 EUR;275;221;/;223;53
2022;Rheinland-Pfalz;Insgesamt;3000 bis unter 3500 EUR;181;145;/;146;35
2022;Rheinland-Pfalz;Insgesamt;3500 EUR und mehr;313;267;/;268;45
2022;Rheinland-Pfalz;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Rheinland-Pfalz;Insgesamt;Insgesamt;4080;2100;66;2166;1914
2022;Saarland;männlich;Kein Einkommen;70;/;/;/;68
2022;Saarland;männlich;unter 500 EUR;39;8;/;11;28
2022;Saarland;männlich;500 bis unter 1000 EUR;38;17;/;21;17
2022;Saarland;männlich;1000 bis unter 1250 EUR;24;9;/;10;14
2022;Saarland;männlich;1250 bis unter 1500 EUR;30;13;/;14;16
2022;Saarland;männlich;1500 bis unter 1750 EUR;32;16;/;16;16
2022;Saarland;männlich;1750 bis unter 2000 EUR;48;30;/;31;17
2022;Saarland;männlich;2000 bis unter 2500 EUR;80;58;/;58;22
2022;Saarland;männlich;2500 bis unter 3000 EUR;47;37;/;37;10
2022;Saarland;männlich;3000 bis unter 3500 EUR;27;21;/;21;6
2022;Saarland;männlich;3500 EUR und mehr;49;44;/;44;5
2022;Saarland;männlich;Ohne Angabe;/;/;/;/;/
2022;Saarland;männlich;Insgesamt;484;254;11;265;219
2022;Saarland;weiblich;Kein Einkommen;93;/;/;/;91
2022;Saarland;weiblich;unter 500 EUR;82;26;/;28;54
2022;Saarland;weiblich;500 bis unter 1000 EUR;80;36;/;38;42
2022;Saarland;weiblich;1000 bis unter 1250 EUR;49;27;/;27;22
2022;Saarland;weiblich;1250 bis unter 1500 EUR;43;26;/;26;17
2022;Saarland;weiblich;1500 bis unter 1750 EUR;30;19;/;19;11
2022;Saarland;weiblich;1750 bis unter 2000 EUR;33;23;/;23;10
2022;Saarland;weiblich;2000 bis unter 2500 EUR;43;33;/;33;10
2022;Saarland;weiblich;2500 bis unter 3000 EUR;19;15;/;15;/
2022;Saarland;weiblich;3000 bis unter 3500 EUR;10;9;/;9;/
2022;Saarland;weiblich;3500 EUR und mehr;14;11;/;12;/
2022;Saarland;weiblich;Ohne Angabe;/;/;/;/;/
2022;Saarland;weiblich;Insgesamt;497;224;8;232;265
2022;Saarland;Insgesamt;Kein Einkommen;163;/;/;/;159
2022;Saarland;Insgesamt;unter 500 EUR;121;34;/;39;82
2022;Saarland;Insgesamt;500 bis unter 1000 EUR;118;53;/;59;59
2022;Saarland;Insgesamt;1000 bis unter 1250 EUR;73;36;/;37;36
2022;Saarland;Insgesamt;1250 bis unter 1500 EUR;74;39;/;40;34
2022;Saarland;Insgesamt;1500 bis unter 1750 EUR;62;35;/;35;26
2022;Saarland;Insgesamt;1750 bis unter 2000 EUR;81;53;/;54;27
2022;Saarland;Insgesamt;2000 bis unter 2500 EUR;124;91;/;91;32
2022;Saarland;Insgesamt;2500 bis unter 3000 EUR;66;52;/;52;14
2022;Saarland;Insgesamt;3000 bis unter 3500 EUR;37;30;/;30;7
2022;Saarland;Insgesamt;3500 EUR und mehr;63;55;/;55;8
2022;Saarland;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Saarland;Insgesamt;Insgesamt;981;479;18;497;484
2022;Sachsen;männlich;Kein Einkommen;321;/;/;/;317
2022;Sachsen;männlich;unter 500 EUR;81;20;7;27;54
2022;Sachsen;männlich;500 bis unter 1000 EUR;212;71;15;86;126
2022;Sachsen;männlich;1000 bis unter 1250 EUR;190;61;/;63;126
2022;Sachsen;männlich;1250 bis unter 1500 EUR;227;116;/;117;110
2022;Sachsen;männlich;1500 bis unter 1750 EUR;211;150;/;151;60
2022;Sachsen;männlich;1750 bis unter 2000 EUR;193;147;/;148;46
2022;Sachsen;männlich;2000 bis unter 2500 EUR;243;201;/;201;42
2022;Sachsen;männlich;2500 bis unter 3000 EUR;126;116;/;116;10
2022;Sachsen;männlich;3000 bis unter 3500 EUR;72;68;/;69;/
2022;Sachsen;männlich;3500 EUR und mehr;108;103;/;103;/
2022;Sachsen;männlich;Ohne Angabe;/;/;/;/;/
2022;Sachsen;männlich;Insgesamt;1984;1054;30;1085;899
2022;Sachsen;weiblich;Kein Einkommen;331;/;/;7;324
2022;Sachsen;weiblich;unter 500 EUR;102;27;/;32;70
2022;Sachsen;weiblich;500 bis unter 1000 EUR;326;99;15;114;212
2022;Sachsen;weiblich;1000 bis unter 1250 EUR;261;109;/;112;149
2022;Sachsen;weiblich;1250 bis unter 1500 EUR;235;133;/;135;100
2022;Sachsen;weiblich;1500 bis unter 1750 EUR;219;130;/;130;88
2022;Sachsen;weiblich;1750 bis unter 2000 EUR;177;114;/;115;63
2022;Sachsen;weiblich;2000 bis unter 2500 EUR;209;153;/;154;55
2022;Sachsen;weiblich;2500 bis unter 3000 EUR;86;73;/;73;13
2022;Sachsen;weiblich;3000 bis unter 3500 EUR;39;36;/;36;/
2022;Sachsen;weiblich;3500 EUR und mehr;43;41;/;41;/
2022;Sachsen;weiblich;Ohne Angabe;/;/;/;/;/
2022;Sachsen;weiblich;Insgesamt;2027;917;32;949;1078
2022;Sachsen;Insgesamt;Kein Einkommen;652;/;8;12;640
2022;Sachsen;Insgesamt;unter 500 EUR;183;47;12;59;124
2022;Sachsen;Insgesamt;500 bis unter 1000 EUR;538;170;30;200;338
2022;Sachsen;Insgesamt;1000 bis unter 1250 EUR;451;170;/;175;276
2022;Sachsen;Insgesamt;1250 bis unter 1500 EUR;462;250;/;252;210
2022;Sachsen;Insgesamt;1500 bis unter 1750 EUR;429;280;/;281;148
2022;Sachsen;Insgesamt;1750 bis unter 2000 EUR;371;261;/;262;108
2022;Sachsen;Insgesamt;2000 bis unter 2500 EUR;452;354;/;355;97
2022;Sachsen;Insgesamt;2500 bis unter 3000 EUR;212;188;/;189;23
2022;Sachsen;Insgesamt;3000 bis unter 3500 EUR;111;105;/;105;6
2022;Sachsen;Insgesamt;3500 EUR und mehr;151;144;/;144;7
2022;Sachsen;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Sachsen;Insgesamt;Insgesamt;4010;1971;62;2034;1977
2022;Sachsen-Anhalt;männlich;Kein Einkommen;144;/;/;/;141
2022;Sachsen-Anhalt;männlich;unter 500 EUR;66;11;/;17;49
2022;Sachsen-Anhalt;männlich;500 bis unter 1000 EUR;126;39;12;50;76
2022;Sachsen-Anhalt;männlich;1000 bis unter 1250 EUR;109;34;/;36;73
2022;Sachsen-Anhalt;männlich;1250 bis unter 1500 EUR;108;52;/;53;55
2022;Sachsen-Anhalt;männlich;1500 bis unter 1750 EUR;112;76;/;78;34
2022;Sachsen-Anhalt;männlich;1750 bis unter 2000 EUR;99;76;/;77;22
2022;Sachsen-Anhalt;männlich;2000 bis unter 2500 EUR;142;118;/;118;24
2022;Sachsen-Anhalt;männlich;2500 bis unter 3000 EUR;68;61;/;61;7
2022;Sachsen-Anhalt;männlich;3000 bis unter 3500 EUR;35;32;/;32;/
2022;Sachsen-Anhalt;männlich;3500 EUR und mehr;42;39;/;39;/
2022;Sachsen-Anhalt;männlich;Ohne Angabe;/;/;/;/;/
2022;Sachsen-Anhalt;männlich;Insgesamt;1051;539;25;564;487
2022;Sachsen-Anhalt;weiblich;Kein Einkommen;149;/;/;/;146
2022;Sachsen-Anhalt;weiblich;unter 500 EUR;79;15;/;19;60
2022;Sachsen-Anhalt;weiblich;500 bis unter 1000 EUR;182;49;7;57;125
2022;Sachsen-Anhalt;weiblich;1000 bis unter 1250 EUR;151;63;/;64;87
2022;Sachsen-Anhalt;weiblich;1250 bis unter 1500 EUR;120;66;/;67;53
2022;Sachsen-Anhalt;weiblich;1500 bis unter 1750 EUR;115;67;/;68;47
2022;Sachsen-Anhalt;weiblich;1750 bis unter 2000 EUR;92;57;/;57;35
2022;Sachsen-Anhalt;weiblich;2000 bis unter 2500 EUR;112;82;/;83;29
2022;Sachsen-Anhalt;weiblich;2500 bis unter 3000 EUR;43;36;/;36;7
2022;Sachsen-Anhalt;weiblich;3000 bis unter 3500 EUR;21;18;/;18;/
2022;Sachsen-Anhalt;weiblich;3500 EUR und mehr;20;18;/;18;/
2022;Sachsen-Anhalt;weiblich;Ohne Angabe;/;/;/;/;/
2022;Sachsen-Anhalt;weiblich;Insgesamt;1083;474;17;491;592
2022;Sachsen-Anhalt;Insgesamt;Kein Einkommen;293;/;/;7;287
2022;Sachsen-Anhalt;Insgesamt;unter 500 EUR;145;26;10;36;109
2022;Sachsen-Anhalt;Insgesamt;500 bis unter 1000 EUR;308;88;19;107;201
2022;Sachsen-Anhalt;Insgesamt;1000 bis unter 1250 EUR;261;97;/;100;160
2022;Sachsen-Anhalt;Insgesamt;1250 bis unter 1500 EUR;227;117;/;120;108
2022;Sachsen-Anhalt;Insgesamt;1500 bis unter 1750 EUR;227;144;/;146;81
2022;Sachsen-Anhalt;Insgesamt;1750 bis unter 2000 EUR;191;133;/;134;57
2022;Sachsen-Anhalt;Insgesamt;2000 bis unter 2500 EUR;254;200;/;200;53
2022;Sachsen-Anhalt;Insgesamt;2500 bis unter 3000 EUR;111;98;/;98;14
2022;Sachsen-Anhalt;Insgesamt;3000 bis unter 3500 EUR;56;50;/;50;/
2022;Sachsen-Anhalt;Insgesamt;3500 EUR und mehr;61;58;/;58;/
2022;Sachsen-Anhalt;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Sachsen-Anhalt;Insgesamt;Insgesamt;2134;1013;42;1055;1079
2022;Schleswig-Holstein;männlich;Kein Einkommen;204;/;/;/;199
2022;Schleswig-Holstein;männlich;unter 500 EUR;112;25;/;31;82
2022;Schleswig-Holstein;männlich;500 bis unter 1000 EUR;115;48;8;56;59
2022;Schleswig-Holstein;männlich;1000 bis unter 1250 EUR;77;34;/;37;40
2022;Schleswig-Holstein;männlich;1250 bis unter 1500 EUR;85;47;/;47;38
2022;Schleswig-Holstein;männlich;1500 bis unter 1750 EUR;107;66;/;68;40
2022;Schleswig-Holstein;männlich;1750 bis unter 2000 EUR;125;89;/;91;34
2022;Schleswig-Holstein;männlich;2000 bis unter 2500 EUR;230;176;/;178;52
2022;Schleswig-Holstein;männlich;2500 bis unter 3000 EUR;129;95;/;95;34
2022;Schleswig-Holstein;männlich;3000 bis unter 3500 EUR;83;64;/;64;19
2022;Schleswig-Holstein;männlich;3500 EUR und mehr;155;133;/;134;22
2022;Schleswig-Holstein;männlich;Ohne Angabe;/;/;/;/;/
2022;Schleswig-Holstein;männlich;Insgesamt;1424;780;26;805;618
2022;Schleswig-Holstein;weiblich;Kein Einkommen;242;/;/;8;235
2022;Schleswig-Holstein;weiblich;unter 500 EUR;193;53;/;56;137
2022;Schleswig-Holstein;weiblich;500 bis unter 1000 EUR;235;101;/;107;128
2022;Schleswig-Holstein;weiblich;1000 bis unter 1250 EUR;155;81;/;84;71
2022;Schleswig-Holstein;weiblich;1250 bis unter 1500 EUR;119;72;/;73;46
2022;Schleswig-Holstein;weiblich;1500 bis unter 1750 EUR;117;77;/;77;40
2022;Schleswig-Holstein;weiblich;1750 bis unter 2000 EUR;108;78;/;78;30
2022;Schleswig-Holstein;weiblich;2000 bis unter 2500 EUR;149;110;/;111;38
2022;Schleswig-Holstein;weiblich;2500 bis unter 3000 EUR;71;52;/;52;18
2022;Schleswig-Holstein;weiblich;3000 bis unter 3500 EUR;40;31;/;31;8
2022;Schleswig-Holstein;weiblich;3500 EUR und mehr;45;37;/;37;8
2022;Schleswig-Holstein;weiblich;Ohne Angabe;/;/;/;/;/
2022;Schleswig-Holstein;weiblich;Insgesamt;1475;696;18;714;761
2022;Schleswig-Holstein;Insgesamt;Kein Einkommen;447;7;/;13;434
2022;Schleswig-Holstein;Insgesamt;unter 500 EUR;305;78;9;87;219
2022;Schleswig-Holstein;Insgesamt;500 bis unter 1000 EUR;350;149;14;163;187
2022;Schleswig-Holstein;Insgesamt;1000 bis unter 1250 EUR;232;115;/;121;111
2022;Schleswig-Holstein;Insgesamt;1250 bis unter 1500 EUR;205;119;/;120;84
2022;Schleswig-Holstein;Insgesamt;1500 bis unter 1750 EUR;224;143;/;145;79
2022;Schleswig-Holstein;Insgesamt;1750 bis unter 2000 EUR;234;167;/;169;65
2022;Schleswig-Holstein;Insgesamt;2000 bis unter 2500 EUR;379;286;/;288;91
2022;Schleswig-Holstein;Insgesamt;2500 bis unter 3000 EUR;200;147;/;148;52
2022;Schleswig-Holstein;Insgesamt;3000 bis unter 3500 EUR;123;95;/;95;28
2022;Schleswig-Holstein;Insgesamt;3500 EUR und mehr;200;170;/;170;30
2022;Schleswig-Holstein;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Schleswig-Holstein;Insgesamt;Insgesamt;2899;1476;44;1520;1379
2022;Thüringen;männlich;Kein Einkommen;161;/;/;/;158
2022;Thüringen;männlich;unter 500 EUR;46;9;/;13;33
2022;Thüringen;männlich;500 bis unter 1000 EUR;122;41;9;49;73
2022;Thüringen;männlich;1000 bis unter 1250 EUR;104;31;/;32;72
2022;Thüringen;männlich;1250 bis unter 1500 EUR;108;57;/;58;50
2022;Thüringen;männlich;1500 bis unter 1750 EUR;114;81;/;82;32
2022;Thüringen;männlich;1750 bis unter 2000 EUR;102;80;/;81;21
2022;Thüringen;männlich;2000 bis unter 2500 EUR;135;113;/;114;21
2022;Thüringen;männlich;2500 bis unter 3000 EUR;60;55;/;55;/
2022;Thüringen;männlich;3000 bis unter 3500 EUR;35;32;/;32;/
2022;Thüringen;männlich;3500 EUR und mehr;47;44;/;44;/
2022;Thüringen;männlich;Ohne Angabe;/;/;/;/;/
2022;Thüringen;männlich;Insgesamt;1032;545;17;562;470
2022;Thüringen;weiblich;Kein Einkommen;162;/;/;/;158
2022;Thüringen;weiblich;unter 500 EUR;58;16;/;18;40
2022;Thüringen;weiblich;500 bis unter 1000 EUR;177;58;7;65;113
2022;Thüringen;weiblich;1000 bis unter 1250 EUR;152;60;/;61;91
2022;Thüringen;weiblich;1250 bis unter 1500 EUR;122;69;/;70;52
2022;Thüringen;weiblich;1500 bis unter 1750 EUR;115;69;/;69;45
2022;Thüringen;weiblich;1750 bis unter 2000 EUR;82;54;/;55;28
2022;Thüringen;weiblich;2000 bis unter 2500 EUR;105;78;/;78;27
2022;Thüringen;weiblich;2500 bis unter 3000 EUR;37;31;/;31;6
2022;Thüringen;weiblich;3000 bis unter 3500 EUR;20;18;/;18;/
2022;Thüringen;weiblich;3500 EUR und mehr;22;21;/;21;/
2022;Thüringen;weiblich;Ohne Angabe;/;/;/;/;/
2022;Thüringen;weiblich;Insgesamt;1052;475;14;489;563
2022;Thüringen;Insgesamt;Kein Einkommen;322;/;/;/;316
2022;Thüringen;Insgesamt;unter 500 EUR;104;25;/;31;73
2022;Thüringen;Insgesamt;500 bis unter 1000 EUR;299;98;16;114;185
2022;Thüringen;Insgesamt;1000 bis unter 1250 EUR;257;92;/;94;163
2022;Thüringen;Insgesamt;1250 bis unter 1500 EUR;230;126;/;128;102
2022;Thüringen;Insgesamt;1500 bis unter 1750 EUR;229;150;/;151;77
2022;Thüringen;Insgesamt;1750 bis unter 2000 EUR;184;135;/;135;49
2022;Thüringen;Insgesamt;2000 bis unter 2500 EUR;240;191;/;192;49
2022;Thüringen;Insgesamt;2500 bis unter 3000 EUR;97;85;/;85;11
2022;Thüringen;Insgesamt;3000 bis unter 3500 EUR;54;50;/;50;/
2022;Thüringen;Insgesamt;3500 EUR und mehr;68;65;/;65;/
2022;Thüringen;Insgesamt;Ohne Angabe;/;/;/;/;/
2022;Thüringen;Insgesamt;Insgesamt;2084;1020;31;1051;1033
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 29.06.2023 / 18:40:40
